planning_area,pre_primary,primary,secondary,post_secondary,polytechnic,prof_qualification_diploma,university,year
Ang Mo Kio,3000,11700,8200,2300,3000,200,3400,2015
Bedok,3200,18400,15000,4200,5500,700,7500,2015
Bishan,1300,5800,4100,1500,1400,400,3100,2015
Boon Lay,0,0,0,0,0,0,0,2015
Bukit Batok,1800,8400,8100,2300,3600,700,4400,2015
Bukit Merah,2200,8900,5500,2100,2200,200,2400,2015
Choa Chu Kang,2400,12600,12200,3300,5500,600,5000,2015
Bukit Panjang,2500,10600,8600,2000,4100,200,3000,2015
Jurong East,800,6200,3600,1300,1200,200,1800,2015
Queenstown,1200,5000,3200,1500,1600,100,2300,2015
Jurong West,5000,21700,17000,5000,6000,500,5600,2015
Bukit Timah,1300,5300,4200,1600,600,200,2500,2015
Central Water Catchment,0,0,0,0,0,0,0,2015
Changi,0,0,0,0,0,0,0,2015
Changi Bay,0,0,0,0,0,0,0,2015
Tengah,0,0,0,0,0,0,0,2015
Clementi,1500,5300,3100,900,900,200,1700,2015
Geylang,1700,6500,4500,1200,1300,300,2700,2015
Hougang,2600,13500,13000,3000,5000,500,6100,2015
Pioneer,0,0,0,0,0,0,0,2015
Punggol,2300,9200,4300,800,1500,200,1200,2015
Seletar,0,0,0,0,0,0,0,2015
Sembawang,1600,7100,4100,900,2000,100,2200,2015
Sengkang,4900,19300,13400,3100,5000,600,3400,2015
Serangoon,1300,7100,6100,2000,1800,200,4200,2015
Simpang,0,0,0,0,0,0,0,2015
Southern Islands,0,0,0,0,0,0,0,2015
Sungei Kadut,0,0,0,0,0,0,0,2015
Tampines,2900,15900,13800,4200,6700,1100,7900,2015
Tanglin,100,1800,700,300,0,0,500,2015
Toa Payoh,1000,7300,5400,1200,2800,300,2700,2015
Tuas,0,0,0,0,0,0,0,2015
Western Islands,0,0,0,0,0,0,0,2015
Western Water Catchment,0,0,0,0,0,0,0,2015
Woodlands,3700,18400,17900,5700,6300,800,3900,2015
Yishun,3000,12400,10000,3100,4000,400,3600,2015
Downtown Core,0,0,0,0,0,0,0,2015
Marina East,0,0,0,0,0,0,0,2015
Marina South,0,0,0,0,0,0,0,2015
Museum,0,0,0,0,0,0,0,2015
Newton,0,0,0,0,0,0,0,2015
Orchard,0,0,0,0,0,0,0,2015
Outram,300,1200,400,100,300,0,400,2015
Kallang,1200,4800,4600,1000,1500,600,1500,2015
Lim Chu Kang,0,0,0,0,0,0,0,2015
Mandai,0,0,0,0,0,0,0,2015
Marine Parade,1000,2400,1700,500,400,100,1100,2015
North-Eastern Islands,0,0,0,0,0,0,0,2015
Novena,600,3200,2000,500,500,100,1000,2015
Pasir Ris,2200,10000,9600,2600,4900,800,5000,2015
Paya Lebar,0,0,0,0,0,0,0,2015
River Valley,0,0,0,0,0,0,0,2015
Rochor,0,0,0,0,0,0,0,2015
Singapore River,0,0,0,0,0,0,0,2015
Straits View,0,0,0,0,0,0,0,2015
Ang Mo Kio,1857,8066,5628,2131,2832,527,3674,2020
Bedok,3290,14572,10517,3309,3923,580,7785,2020
Bishan,840,5012,3676,1431,1344,223,3056,2020
Boon Lay,0,0,0,0,0,0,0,2020
Bukit Batok,2077,8485,6604,2592,2686,500,4464,2020
Bukit Merah,1857,8530,4992,1739,1892,427,2758,2020
Choa Chu Kang,2487,11760,9140,3094,4839,705,6683,2020
Bukit Panjang,1989,8761,6588,2292,3192,546,4108,2020
Jurong East,747,3670,3144,1115,1474,279,2021,2020
Queenstown,1134,5364,3477,1095,1077,176,2030,2020
Jurong West,3732,17935,13221,4281,5928,830,5833,2020
Bukit Timah,1232,5916,4125,1582,617,151,3398,2020
Central Water Catchment,0,0,0,0,0,0,0,2020
Changi,0,0,0,0,0,0,0,2020
Changi Bay,0,0,0,0,0,0,0,2020
Tengah,0,0,0,0,0,0,0,2020
Clementi,1246,5873,3671,1364,1202,272,2282,2020
Geylang,1430,5301,4054,1214,1620,230,2377,2020
Hougang,2349,11445,8843,3233,4216,714,6058,2020
Pioneer,0,0,0,0,0,0,0,2020
Punggol,4921,16275,8685,1953,2699,356,2302,2020
Seletar,0,0,0,0,0,0,0,2020
Sembawang,1726,7749,5455,1388,2388,273,2107,2020
Sengkang,4974,21822,12968,2996,4996,648,5185,2020
Serangoon,999,5535,4678,1516,1852,361,4117,2020
Simpang,0,0,0,0,0,0,0,2020
Southern Islands,0,0,0,0,0,0,0,2020
Sungei Kadut,0,0,0,0,0,0,0,2020
Tampines,3312,13812,10165,3658,4835,584,6906,2020
Tanglin,354,1713,1038,298,86,53,626,2020
Toa Payoh,1585,6337,4795,1476,1892,299,2669,2020
Tuas,0,0,0,0,0,0,0,2020
Western Islands,0,0,0,0,0,0,0,2020
Western Water Catchment,0,0,0,0,0,0,0,2020
Woodlands,3201,15395,12621,4312,6934,1067,6388,2020
Yishun,3579,13373,9396,3328,3727,707,4268,2020
Downtown Core,29,61,59,25,18,0,60,2020
Marina East,0,0,0,0,0,0,0,2020
Marina South,0,0,0,0,0,0,0,2020
Museum,0,0,0,0,0,0,0,2020
Newton,0,0,0,0,0,0,0,2020
Orchard,0,0,0,0,0,0,0,2020
Outram,219,944,492,173,117,52,286,2020
Kallang,1161,4700,3806,1054,1347,147,1993,2020
Lim Chu Kang,0,0,0,0,0,0,0,2020
Mandai,0,0,0,0,0,0,0,2020
Marine Parade,625,3048,2087,652,458,101,1313,2020
North-Eastern Islands,0,0,0,0,0,0,0,2020
Novena,711,3489,1995,627,538,93,1109,2020
Pasir Ris,1661,8529,6784,2273,3618,566,5838,2020
Paya Lebar,0,0,0,0,0,0,0,2020
River Valley,193,767,468,168,62,12,317,2020
Rochor,0,0,0,0,0,0,0,2020
Singapore River,0,0,0,0,0,0,0,2020
Straits View,0,0,0,0,0,0,0,2020
