planning_area,manufacturing,construction,wholesale_retail_trade,transportation_storage,accommodation_food_services,information_communications,financial_insurance_services,real_estate_services,professional_services,admin_support_services,public_admin_education,health_social_services,arts_entertainment_recreation,other_comm_social_personal,others,hotels_restaurants,transport_communications,business_services,other_services_industries,year
Ang Mo Kio,10200,5600,17000,6800,9600,3800,7300,2500,6900,6300,12700,5200,2000,4400,900,0,0,0,0,2015
Bedok,13600,6000,26600,14400,9900,6600,14100,4200,14300,8000,18200,6700,1700,4600,1300,0,0,0,0,2015
Bishan,4800,1800,8000,2500,2900,2200,4700,900,5900,2100,8200,3200,700,1200,400,0,0,0,0,2015
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Bukit Batok,9100,4700,12300,6100,4200,3100,4200,1900,7200,4300,10900,3300,1200,2100,1000,0,0,0,0,2015
Bukit Merah,5400,2700,14500,7200,7400,3600,7700,2600,5400,6500,9300,4700,1900,2800,600,0,0,0,0,2015
Choa Chu Kang,14600,5500,16400,8100,4900,3200,5300,2300,7700,4300,13800,5200,1300,2900,1700,0,0,0,0,2015
Bukit Panjang,10800,4300,14400,7500,4200,2400,4600,1900,4500,4300,12200,4000,1300,2300,1300,0,0,0,0,2015
Jurong East,6600,2100,6900,4100,2600,900,2700,1200,3600,2600,6400,2500,1100,2100,700,0,0,0,0,2015
Queenstown,3300,1500,7200,5400,4200,2200,4600,1600,4600,2800,7200,2100,600,1500,500,0,0,0,0,2015
Jurong West,29800,10300,28000,15100,8200,4400,7500,2900,11000,7300,18900,5300,2700,4800,2500,0,0,0,0,2015
Bukit Timah,3300,800,6400,1500,800,1400,4900,1000,4400,700,6800,3500,500,600,200,0,0,0,0,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Clementi,4100,2000,7400,3500,2800,2000,3700,1200,4700,2700,7400,2300,500,1400,500,0,0,0,0,2015
Geylang,5600,4100,9500,4900,5400,2700,5100,2300,4400,3700,7300,2700,1200,1900,500,0,0,0,0,2015
Hougang,12300,7500,22600,10200,8300,3800,8700,3100,9100,5300,17400,5400,2200,4000,1100,0,0,0,0,2015
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Punggol,6500,2700,10100,6100,2800,3100,5100,1400,5400,2200,8600,2500,1100,2300,700,0,0,0,0,2015
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Sembawang,6500,2900,8300,3300,2500,2000,3300,700,3100,2200,6400,2900,1000,1600,600,0,0,0,0,2015
Sengkang,12700,6000,21700,12100,7700,6000,11100,2600,9100,4800,17300,5800,2700,3100,1400,0,0,0,0,2015
Serangoon,5500,3300,12000,4900,3400,2900,6400,1900,6000,2800,10900,4200,900,2400,700,0,0,0,0,2015
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Tampines,14600,6600,23800,18800,9200,7800,12800,4200,9300,8400,22400,7000,2800,3700,1500,0,0,0,0,2015
Tanglin,900,0,1700,0,400,200,1900,300,1200,200,1100,800,100,100,0,0,0,0,0,2015
Toa Payoh,5800,3200,11500,5000,6300,2900,5900,2000,5700,4500,8200,3400,1200,2900,400,0,0,0,0,2015
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Woodlands,22300,9600,20900,11300,8500,3700,7100,3000,8900,7400,17000,6600,2200,4700,1700,0,0,0,0,2015
Yishun,13100,8100,21600,10700,9000,3300,6100,3100,7500,6900,15700,6900,1800,4000,1500,0,0,0,0,2015
Downtown Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Outram,700,200,2000,1000,1300,600,1400,400,900,1000,1000,600,100,400,0,0,0,0,0,2015
Kallang,4100,2700,10700,2900,4800,2500,5200,2100,4700,3900,5000,2900,1800,1500,600,0,0,0,0,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Marine Parade,1700,700,3800,1200,1500,1200,3200,500,1600,1000,2700,1500,300,500,0,0,0,0,0,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Novena,1300,1200,3000,1200,1600,1400,3100,900,2400,800,3700,1300,800,1000,200,0,0,0,0,2015
Pasir Ris,8700,3600,12100,10900,3500,3000,6200,1800,5500,3200,12500,3200,1000,2300,600,0,0,0,0,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
River Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
Ang Mo Kio,7667,4011,12746,6989,6312,4572,7093,2300,6504,5955,10900,6104,1327,3205,814,,,,,2020
Bedok,11396,4921,22211,15015,9020,8343,16117,4079,12974,8647,17137,8373,1916,4130,938,,,,,2020
Bishan,3758,1412,6885,2929,2259,3131,5739,1453,4837,2104,7368,3208,651,1386,339,,,,,2020
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Bukit Batok,10254,4254,13634,8346,4966,3817,6058,2396,7084,5356,12469,6467,1323,2932,1123,,,,,2020
Bukit Merah,5096,2125,11562,6424,6200,3985,8692,2242,7811,5926,9137,4996,1492,2415,601,,,,,2020
Choa Chu Kang,14730,4937,16789,11872,5864,4253,7198,2081,7830,6777,16056,6866,1637,2835,1395,,,,,2020
Bukit Panjang,8656,3624,11488,7762,4514,3442,5416,1883,5751,4819,10889,4906,1209,2263,869,,,,,2020
Jurong East,5722,1877,6222,4366,2522,1786,2611,938,3017,2836,4979,2644,577,1184,647,,,,,2020
Queenstown,3792,1309,6930,3666,2756,2891,5474,1395,4622,3007,7031,3000,778,1289,362,,,,,2020
Jurong West,23977,7341,23209,16834,9478,5264,8260,2966,10253,9706,17171,6952,1849,3390,2137,,,,,2020
Bukit Timah,2277,751,5438,1170,939,2306,5910,1090,5526,984,5782,3344,411,840,232,,,,,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Changi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Clementi,4548,1327,6583,3930,2341,2290,4569,1134,4537,2695,7652,3340,795,1409,461,,,,,2020
Geylang,4783,2703,9363,5182,4833,3247,6301,1431,4922,4417,6634,3258,1049,2553,384,,,,,2020
Hougang,11231,5952,19856,12324,8254,6118,11571,2996,9241,7644,16324,8352,1938,4246,1191,,,,,2020
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Punggol,8534,3793,14687,9459,4923,5396,9420,2547,7762,4237,13660,5827,1735,2861,696,,,,,2020
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Sembawang,8165,3397,8671,5199,3761,2757,4314,1169,3951,3389,7280,4099,1017,1648,692,,,,,2020
Sengkang,12683,6424,21859,14473,7411,7884,13077,3369,10549,7682,19054,9275,2234,4214,1227,,,,,2020
Serangoon,5040,3049,10210,4374,3408,3628,6751,1798,6351,3150,8487,4275,850,1754,433,,,,,2020
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Tampines,13088,4431,19091,19154,8707,7424,13712,3084,9884,8710,19842,9211,2404,4299,1506,,,,,2020
Tanglin,465,121,1604,321,267,658,2494,359,1687,217,876,845,119,125,48,,,,,2020
Toa Payoh,4514,2150,9638,5484,4453,2862,6504,1848,5251,4253,8110,4559,1017,2428,483,,,,,2020
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Woodlands,20793,7858,18793,14158,8469,4901,8672,2841,7657,8857,19575,8987,2213,3511,1417,,,,,2020
Yishun,13338,6604,17601,11589,9151,5141,9088,2838,8063,7719,14614,9228,2046,3911,1266,,,,,2020
Downtown Core,57,35,340,60,76,150,577,68,287,71,110,73,17,32,9,,,,,2020
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Outram,607,232,1255,799,1018,448,1112,192,822,909,944,423,146,332,31,,,,,2020
Kallang,3903,1716,8735,4622,4466,2983,6188,1286,5059,3921,5999,3038,938,1797,267,,,,,2020
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Marine Parade,1145,554,3638,1437,906,1425,3908,649,2538,997,2635,1249,288,632,127,,,,,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Novena,1405,617,3912,1592,1540,1406,3704,681,2890,1137,2939,2115,313,723,193,,,,,2020
Pasir Ris,7860,2959,11389,10150,3384,4320,8735,1978,6756,4021,14088,5210,1218,2086,573,,,,,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
River Valley,252,66,769,211,180,364,1379,184,911,149,520,252,59,53,22,,,,,2020
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2020
