planning_area,no_literate,l1_chi,l1_eng,l1_mal,l1_tam,l1_non_off,l2_eng_chi,l2_eng_mal,l2_eng_tam,l2_other_two,l3_eng_chi_mal,l3_eng_mal_tam,l3_other_three,year,l2_eng_non_off
Ang Mo Kio,7600,30900,18700,1900,700,300,70200,12800,5500,500,,,,2015,2600
Bedok,8900,34000,31500,4900,300,300,97000,37400,5500,300,,,,2015,5100
Bishan,1600,8700,12600,0,0,0,41500,3700,4100,300,,,,2015,800
Boon Lay,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Bukit Batok,3100,16400,10900,1300,300,100,59200,15000,4300,600,,,,2015,2200
Bukit Merah,7500,23900,13100,1500,700,100,61900,8900,4800,300,,,,2015,3900
Choa Chu Kang,3000,19400,10400,1600,500,100,70800,23400,6200,600,,,,2015,4200
Bukit Panjang,3600,16900,7800,1600,100,200,61000,19100,2800,600,,,,2015,1600
Jurong East,2500,13500,7600,1100,400,100,25700,11000,4900,200,,,,2015,700
Queenstown,3900,12200,10300,800,400,100,37300,7200,3000,200,,,,2015,2700
Jurong West,7900,41200,18400,5100,1300,200,95900,33100,12400,1200,,,,2015,4200
Bukit Timah,300,3800,11500,0,0,0,33800,2500,600,0,,,,2015,1700
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Changi,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Changi Bay,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Tengah,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Clementi,3100,11300,8800,1100,100,100,33800,7500,2000,200,,,,2015,1600
Geylang,4200,15100,6600,1600,300,200,43200,12300,1800,500,,,,2015,2000
Hougang,5500,30900,18900,900,500,0,98400,14200,5100,500,,,,2015,2000
Pioneer,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Punggol,2100,8600,7300,500,100,200,46900,8200,2200,300,,,,2015,2400
Seletar,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Sembawang,1500,8300,3700,300,0,100,32800,8700,3000,200,,,,2015,2100
Sengkang,4500,22300,11800,1200,200,100,98300,18400,7700,1100,,,,2015,3700
Serangoon,3100,12600,13400,600,200,100,59400,8300,4800,0,,,,2015,1900
Simpang,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Southern Islands,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Tampines,5900,25600,18200,3600,200,300,103100,52000,5700,500,,,,2015,5300
Tanglin,100,600,4200,0,0,100,5700,800,0,0,,,,2015,1100
Toa Payoh,4500,18600,12500,1000,400,100,50600,7600,4300,300,,,,2015,1800
Tuas,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Western Islands,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Woodlands,3900,32000,15600,4300,500,400,76000,41800,10100,1000,,,,2015,2900
Yishun,5800,28000,12100,2700,500,100,74700,27100,9900,1000,,,,2015,3400
Downtown Core,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Marina East,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Marina South,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Museum,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Newton,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Orchard,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Outram,1400,3200,1600,200,100,0,7700,1500,600,0,,,,2015,200
Kallang,4700,13500,7800,700,900,200,39000,5300,4300,400,,,,2015,3000
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Mandai,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Marine Parade,700,3900,5900,300,0,200,17500,3500,700,0,,,,2015,900
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Novena,800,3900,4800,300,100,100,19500,2700,700,200,,,,2015,900
Pasir Ris,1800,9600,13700,800,300,0,55000,25800,3000,400,,,,2015,1800
Paya Lebar,0,0,0,0,0,0,0,0,0,0,,,,2015,0
River Valley,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Rochor,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Singapore River,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Straits View,0,0,0,0,0,0,0,0,0,0,,,,2015,0
Ang Mo Kio,7054,25827,16464,1368,496,339,65590,9678,5580,204,5592,835,,2020,2060
Bedok,7165,29765,29023,4302,322,386,105756,35186,4274,616,6986,569,,2020,6177
Bishan,1691,7945,11916,346,99,96,41085,4244,2610,103,2714,309,,2020,1404
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Bukit Batok,3719,16761,13621,2418,386,86,62281,19337,6268,400,5903,789,,2020,3590
Bukit Merah,5842,20668,13984,1938,784,311,60047,9150,5216,272,3531,775,,2020,2832
Choa Chu Kang,3407,19414,14065,2701,426,204,75151,29086,8168,477,6558,1022,,2020,3586
Bukit Panjang,3526,16146,10600,1647,241,143,57077,17411,4088,262,3648,569,,2020,2102
Jurong East,2313,10809,6260,1516,274,93,27955,10095,3593,235,2898,344,,2020,1390
Queenstown,2994,10761,11302,770,317,192,37407,6447,2072,161,2865,332,,2020,2075
Jurong West,6756,32921,16135,4230,802,639,93658,37037,10141,793,12441,1326,,2020,4204
Bukit Timah,554,3074,12529,72,45,41,35822,2626,649,51,2071,76,,2020,2490
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Changi,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Clementi,2468,10029,9096,1202,278,141,38909,7809,2282,154,2802,334,,2020,1853
Geylang,4446,15951,9511,1455,334,262,42303,11870,2385,296,3359,264,,2020,2009
Hougang,6239,28718,20860,1565,572,382,97503,18114,7825,410,5896,640,,2020,2525
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Punggol,2626,12270,12411,1088,146,345,72323,18652,3258,286,5551,284,,2020,2823
Seletar,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Sembawang,1966,10155,7146,1062,242,77,39500,13873,3997,266,5439,493,,2020,1907
Sengkang,3753,23238,17650,1693,407,351,107922,22659,8157,361,8461,669,,2020,5205
Serangoon,2395,12163,15186,431,399,80,53961,6456,4449,196,3083,571,,2020,1544
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Southern Islands,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Tampines,5744,24607,21796,4438,304,202,96446,50578,4964,325,6208,496,,2020,4732
Tanglin,87,507,4101,4,3,49,7642,746,133,69,597,20,,2020,1637
Toa Payoh,4354,15197,13727,777,304,226,50217,8219,2900,251,4250,297,,2020,1795
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Woodlands,4623,25949,14244,4417,718,279,78857,51470,10359,724,13029,1845,,2020,3410
Yishun,5785,27020,14729,2945,559,383,77754,32512,9452,493,7942,1235,,2020,3502
Downtown Core,13,176,475,0,0,8,1424,157,10,4,91,0,,2020,208
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Museum,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Newton,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Orchard,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Outram,1106,3374,1516,162,90,19,6595,1147,431,57,454,44,,2020,268
Kallang,4299,14858,10123,1030,531,241,37734,5654,4410,217,2648,472,,2020,3497
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Mandai,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Marine Parade,843,3444,6931,418,29,113,17949,3404,534,67,1059,158,,2020,1899
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Novena,1046,4028,6500,153,162,94,20416,2224,1122,50,1291,185,,2020,1462
Pasir Ris,1773,9350,14560,1474,164,128,60686,27902,2582,211,3853,462,,2020,3185
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
River Valley,15,248,1705,6,0,24,3608,461,67,28,357,5,,2020,1134
Rochor,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Singapore River,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,,2020,0
