planning_area,no_religion,buddhism,taoism,islam,hinduism,sikhism,catholic_christian,other_christians,other_religions,year
Ang Mo Kio,26900,56200,22600,13900,6000,200,11700,19300,300,2015
Bedok,37300,70700,21700,42700,9700,1100,20000,31900,900,2015
Bishan,16900,21200,7800,2800,4300,100,9500,13600,0,2015
Boon Lay,0,0,0,0,0,0,0,0,0,2015
Bukit Batok,20700,40600,12300,15200,6700,200,7800,16200,300,2015
Bukit Merah,26300,50500,13200,11300,5100,900,8300,16300,500,2015
Choa Chu Kang,28100,47700,16600,26100,8600,0,8900,13100,200,2015
Bukit Panjang,21000,41700,16000,19500,3700,200,4600,12700,100,2015
Jurong East,13200,17500,11500,13800,4700,500,3800,5700,0,2015
Queenstown,16500,25600,6800,8200,3800,100,6300,14100,300,2015
Jurong West,40400,87800,26200,40800,15300,700,7400,15900,500,2015
Bukit Timah,15000,10300,3400,700,1600,0,8200,19800,100,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,2015
Changi,0,0,0,0,0,0,0,0,0,2015
Changi Bay,0,0,0,0,0,0,0,0,0,2015
Tengah,0,0,0,0,0,0,0,0,0,2015
Clementi,16300,23500,5300,8200,2100,100,4100,12900,200,2015
Geylang,18100,32200,8900,14400,3300,500,4000,10800,100,2015
Hougang,35000,71500,19800,16000,6900,100,16700,18500,100,2015
Pioneer,0,0,0,0,0,0,0,0,0,2015
Punggol,17800,28600,7800,8500,4100,600,5500,9600,400,2015
Seletar,0,0,0,0,0,0,0,0,0,2015
Sembawang,13000,22100,5700,8800,2500,400,3200,9100,200,2015
Sengkang,34300,70800,16800,19200,9900,200,11600,14600,400,2015
Serangoon,21700,31500,12100,7400,6000,400,11400,18600,400,2015
Simpang,0,0,0,0,0,0,0,0,0,2015
Southern Islands,0,0,0,0,0,0,0,0,0,2015
Sungei Kadut,0,0,0,0,0,0,0,0,0,2015
Tampines,37000,71100,19700,54500,8600,1300,13600,25700,300,2015
Tanglin,3200,2800,500,300,1500,0,2300,3700,100,2015
Toa Payoh,21700,37200,10500,8200,5400,100,9900,14700,200,2015
Tuas,0,0,0,0,0,0,0,0,0,2015
Western Islands,0,0,0,0,0,0,0,0,0,2015
Western Water Catchment,0,0,0,0,0,0,0,0,0,2015
Woodlands,28800,68600,19000,46100,12800,700,7000,18500,300,2015
Yishun,27000,60700,19800,30900,12400,100,8100,12800,500,2015
Downtown Core,0,0,0,0,0,0,0,0,0,2015
Marina East,0,0,0,0,0,0,0,0,0,2015
Marina South,0,0,0,0,0,0,0,0,0,2015
Museum,0,0,0,0,0,0,0,0,0,2015
Newton,0,0,0,0,0,0,0,0,0,2015
Orchard,0,0,0,0,0,0,0,0,0,2015
Outram,4100,5900,1700,1900,600,200,800,2100,0,2015
Kallang,18000,28900,8100,7600,5500,1100,5500,9700,400,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,2015
Mandai,0,0,0,0,0,0,0,0,0,2015
Marine Parade,9000,8300,1700,3200,1700,500,4700,6500,200,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,2015
Novena,8800,11500,2400,2600,1300,200,3700,6700,0,2015
Pasir Ris,21600,32900,7300,25900,4800,300,8700,17700,300,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,2015
River Valley,0,0,0,0,0,0,0,0,0,2015
Rochor,0,0,0,0,0,0,0,0,0,2015
Singapore River,0,0,0,0,0,0,0,0,0,2015
Straits View,0,0,0,0,0,0,0,0,0,2015
Ang Mo Kio,30141,49544,17279,10952,6661,342,12143,16339,214,2020
Bedok,47193,69927,18890,40660,10321,1058,20874,29299,511,2020
Bishan,19247,21950,5304,3382,3217,146,8607,14759,189,2020
Boon Lay,0,0,0,0,0,0,0,0,0,2020
Bukit Batok,26343,41591,12344,23059,9228,377,8125,17726,380,2020
Bukit Merah,29934,42224,11813,12248,6308,656,8167,16675,560,2020
Choa Chu Kang,29826,51662,17284,34825,9963,319,8605,15082,320,2020
Bukit Panjang,22937,37693,13519,20325,5239,365,7077,12715,242,2020
Jurong East,12575,21756,7343,12743,4832,183,2879,6552,145,2020
Queenstown,18942,22997,5856,6785,3496,468,6802,14755,202,2020
Jurong West,41074,78615,24184,46353,12143,666,7769,14345,620,2020
Bukit Timah,17733,11103,3015,736,2063,227,7950,19824,312,2020
Central Water Catchment,0,0,0,0,0,0,0,0,0,2020
Changi,0,0,0,0,0,0,0,0,0,2020
Changi Bay,0,0,0,0,0,0,0,0,0,2020
Tengah,0,0,0,0,0,0,0,0,0,2020
Clementi,18417,23091,6399,9033,3398,356,5608,12695,303,2020
Geylang,20690,32411,9027,15328,2892,193,5033,10996,180,2020
Hougang,40403,66030,19523,20294,8710,967,17093,22185,670,2020
Pioneer,0,0,0,0,0,0,0,0,0,2020
Punggol,28518,45742,10550,20960,4976,280,9104,14861,356,2020
Seletar,0,0,0,0,0,0,0,0,0,2020
Sembawang,17136,29545,7412,15532,4710,219,4815,8349,234,2020
Sengkang,43436,72229,17591,26557,10715,639,14123,20258,450,2020
Serangoon,22647,30157,9363,5316,6233,340,11557,17399,266,2020
Simpang,0,0,0,0,0,0,0,0,0,2020
Southern Islands,0,0,0,0,0,0,0,0,0,2020
Sungei Kadut,0,0,0,0,0,0,0,0,0,2020
Tampines,36837,64965,18089,59177,8351,703,13594,24778,488,2020
Tanglin,4654,2550,539,423,1102,92,2680,4567,131,2020
Toa Payoh,23483,34920,9271,8521,3807,245,9929,14250,364,2020
Tuas,0,0,0,0,0,0,0,0,0,2020
Western Islands,0,0,0,0,0,0,0,0,0,2020
Western Water Catchment,0,0,0,0,0,0,0,0,0,2020
Woodlands,32251,66744,15988,60365,13535,683,9868,14900,612,2020
Yishun,32049,62216,17681,38022,11466,767,10364,15567,318,2020
Downtown Core,1011,615,109,93,77,0,347,464,4,2020
Marina East,0,0,0,0,0,0,0,0,0,2020
Marina South,0,0,0,0,0,0,0,0,0,2020
Museum,0,0,0,0,0,0,0,0,0,2020
Newton,0,0,0,0,0,0,0,0,0,2020
Orchard,0,0,0,0,0,0,0,0,0,2020
Outram,4139,5138,1633,1470,591,41,681,1881,63,2020
Kallang,18470,28286,8979,8591,7206,631,6105,9737,329,2020
Lim Chu Kang,0,0,0,0,0,0,0,0,0,2020
Mandai,0,0,0,0,0,0,0,0,0,2020
Marine Parade,9103,8532,2087,3243,2718,209,4426,7791,338,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,2020
Novena,10338,10574,2328,2114,1822,205,4598,8072,142,2020
Pasir Ris,24187,33119,8777,30214,4566,491,9983,18383,515,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,2020
River Valley,2565,1297,175,154,863,27,1057,2202,81,2020
Rochor,0,0,0,0,0,0,0,0,0,2020
Singapore River,0,0,0,0,0,0,0,0,0,2020
Straits View,0,0,0,0,0,0,0,0,0,2020
